record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_750_43,mof_uio66_nh2_sonochemical,N2,,25,C,0.750,bar,0.163,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_875_44,mof_uio66_nh2_sonochemical,N2,,25,C,0.875,bar,0.184,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_1_000_45,mof_uio66_nh2_sonochemical,N2,,25,C,1.000,bar,0.206,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_000_46,mof_uio66_nh2_sonochemical,N2,,25,C,0.000,bar,0.000,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_125_47,mof_uio66_nh2_sonochemical,N2,,25,C,0.125,bar,0.054,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_250_48,mof_uio66_nh2_sonochemical,N2,,25,C,0.250,bar,0.087,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_375_49,mof_uio66_nh2_sonochemical,N2,,25,C,0.375,bar,0.130,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_500_50,mof_uio66_nh2_sonochemical,N2,,25,C,0.500,bar,0.163,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_625_51,mof_uio66_nh2_sonochemical,N2,,25,C,0.625,bar,0.195,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_750_52,mof_uio66_nh2_sonochemical,N2,,25,C,0.750,bar,0.228,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_875_53,mof_uio66_nh2_sonochemical,N2,,25,C,0.875,bar,0.260,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_1_000_54,mof_uio66_nh2_sonochemical,N2,,25,C,1.000,bar,0.293,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_50_0_000_55,mof_uio66_nh2_sonochemical,N2,,50,C,0.000,bar,0.000,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_50_0_125_56,mof_uio66_nh2_sonochemical,N2,,50,C,0.125,bar,,mmol/g,,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_50_0_250_57,mof_uio66_nh2_sonochemical,N2,,50,C,0.250,bar,0.033,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
