record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
mofxdb_hMOF-6_iso5105127_p1,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,0.01,bar,0.107653,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p2,mofxdb_hMOF-7,CO2,CarbonDioxide,298.0,K,0.1,bar,3.16225,mol/kg,capacity,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105128.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p3,mofxdb_hMOF-7,CO2,CarbonDioxide,298.0,K,2.5,bar,5.46213,mol/kg,capacity,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105128.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p4,mofxdb_hMOF-7,CO2,CarbonDioxide,298.0,K,0.05,bar,2.48016,mol/kg,capacity,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105128.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p5,mofxdb_hMOF-7,CO2,CarbonDioxide,298.0,K,0.5,bar,4.51262,mol/kg,capacity,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105128.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5380733_p1,mofxdb_hMOF-7,N2,Nitrogen,298.0,K,0.09,bar,0.0134567,mol/kg,capacity,5380733,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380733.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5380733_p2,mofxdb_hMOF-7,N2,Nitrogen,298.0,K,0.9,bar,0.172658,mol/kg,capacity,5380733,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380733.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p1,mofxdb_hMOF-7,CH4,Methane,298.0,K,2.5,bar,0.714699,mol/kg,capacity,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518385.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p2,mofxdb_hMOF-7,CH4,Methane,298.0,K,4.5,bar,0.927942,mol/kg,capacity,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518385.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p3,mofxdb_hMOF-7,CH4,Methane,298.0,K,0.05,bar,0.0270558,mol/kg,capacity,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518385.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p4,mofxdb_hMOF-7,CH4,Methane,298.0,K,0.5,bar,0.237094,mol/kg,capacity,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518385.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p5,mofxdb_hMOF-7,CH4,Methane,298.0,K,0.9,bar,0.391739,mol/kg,capacity,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518385.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5737346_p1,mofxdb_hMOF-7,CH4,Methane,298.0,K,35.0,bar,66.3291,cm3(STP)/cm3,capacity,5737346,10.1038/nchem.1192,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5737346.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso6012951_p1_Xenon,mofxdb_hMOF-7,Xe,Xenon,273.0,K,1.0,bar,0.582411,mol/kg,capacity,6012951,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012951.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-7_iso6012951_p1_Krypton,mofxdb_hMOF-7,Kr,Krypton,273.0,K,1.0,bar,0.354715,mol/kg,capacity,6012951,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012951.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-7_iso6012951_p2_Xenon,mofxdb_hMOF-7,Xe,Xenon,273.0,K,5.0,bar,0.581272,mol/kg,capacity,6012951,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012951.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-7_iso6012951_p2_Krypton,mofxdb_hMOF-7,Kr,Krypton,273.0,K,5.0,bar,0.977496,mol/kg,capacity,6012951,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012951.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-7_iso6012951_p3_Xenon,mofxdb_hMOF-7,Xe,Xenon,273.0,K,10.0,bar,0.584903,mol/kg,capacity,6012951,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012951.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-7_iso6012951_p3_Krypton,mofxdb_hMOF-7,Kr,Krypton,273.0,K,10.0,bar,1.16959,mol/kg,capacity,6012951,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012951.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
