record_id,mof_id,gas_type,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_500_mmol_g_nan_43,pdf_uio_66_nh2,N2,25.0,C,0.5,bar,,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_625_0_130_mmol_g_nan_44,pdf_uio_66_nh2,N2,25.0,C,0.625,bar,0.13,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_750_0_163_mmol_g_nan_45,pdf_uio_66_nh2,N2,25.0,C,0.75,bar,0.163,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_875_0_184_mmol_g_nan_46,pdf_uio_66_nh2,N2,25.0,C,0.875,bar,0.184,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_1_000_0_206_mmol_g_nan_47,pdf_uio_66_nh2,N2,25.0,C,1.0,bar,0.206,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_000_0_000_mmol_g_nan_48,pdf_uio_66_nh2,N2,25.0,C,0.0,bar,0.0,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_125_0_054_mmol_g_nan_49,pdf_uio_66_nh2,N2,25.0,C,0.125,bar,0.054,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_250_0_087_mmol_g_nan_50,pdf_uio_66_nh2,N2,25.0,C,0.25,bar,0.087,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_375_0_130_mmol_g_nan_51,pdf_uio_66_nh2,N2,25.0,C,0.375,bar,0.13,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_n2_25_0_500_0_163_mmol_g_nan_52,pdf_uio_66_nh2,N2,25.0,C,0.5,bar,0.163,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
